Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
13:30:00.000Z,13:45:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,,,,,
13:45:00.000Z,14:00:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,,,,,
14:00:00.000Z,14:15:00.000Z,17.885414194366124,,,,,,,,,,,,,900000,,,,,
14:15:00.000Z,14:30:00.000Z,17.8854142291959,,,,,,,,,19,,,,900000,,,,,
14:30:00.000Z,14:45:00.000Z,31.125176550392155,283.49777030944824,0.3615902,32.6191973,0.3623909,32.6209881,2.387804037976294,3.3626859188079834,0.6037874221801758,250,,,,334857,157641,,,,
14:45:00.000Z,15:00:00.000Z,21.257574081917728,55.00844597816467,0.3615934,32.6206309,0.3617223,32.6209528,1.2423323957869747,2.68591570854187,0.42482471466064453,97,,,,,41809,,,,
15:00:00.000Z,15:15:00.000Z,17.885415798143793,,0.3228226,32.5968944,0.346309,32.5997212,,,,,,,,,,,,,
15:15:00.000Z,15:30:00.000Z,43.93274736630971,311.85411067363225,0.3108545,32.5976127,0.3155824,32.6002283,1.5539757370897447,9.797223091125488,0.3542349934577942,488,,,,174014,390615,,,,
15:30:00.000Z,15:45:00.000Z,37.43859234035523,233.16155628803767,0.297838,32.5992005,0.3117402,32.6104022,0.8284955043027664,0.9906531572341919,0.41386401653289795,318,,,,21015,262092,,,,
15:45:00.000Z,16:00:00.000Z,17.88541603088379,,0.2969721,32.6093259,0.2969721,32.6093259,,,,133,,,,900000,,,,,
16:00:00.000Z,16:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
16:15:00.000Z,16:30:00.000Z,17.88541603088379,,0.2964058,32.6090336,0.2969721,32.6093259,,,,,,,,900000,,,,,
16:30:00.000Z,16:45:00.000Z,17.88541602012339,,,,,,,,,9,,,,900000,,,,,
16:45:00.000Z,17:00:00.000Z,17.885415808871365,,,,,,,,,,,,,900000,,,,,
17:00:00.000Z,17:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
17:15:00.000Z,17:30:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,,,,,
