Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
09:45:00.000Z,10:00:00.000Z,65.8970816565016,169.0,,,,,0.4791666269302368,0.4791666269302368,0.4791666269302368,243,,,,,720000,,,,
10:00:00.000Z,10:15:00.000Z,77.89999485015869,101.25,0.3274646,32.5970258,0.3274646,32.5970258,0.11249999701976776,0.11249999701976776,0.11249999701976776,143,,,,,900000,,,,
10:15:00.000Z,10:30:00.000Z,21.88638648131113,6.75,,,,,0.0,0.0,0.0,10,,,,840000,60000,,,,
10:30:00.000Z,10:45:00.000Z,23.89594201450691,31.980571077013654,,,,,1.3178828954696655,1.3178828954696655,1.3178828954696655,44,,,,809864,90136,,,,
10:45:00.000Z,11:00:00.000Z,24.378193469221515,31.057837202405292,,,,,0.7291769981384277,0.7291769981384277,0.7291769981384277,46,,,,,97368,,,,
11:00:00.000Z,11:15:00.000Z,17.885415482179333,,,,,,,,,,,,,,,,,,
11:15:00.000Z,11:30:00.000Z,17.885416170423827,,0.3228271,32.6045782,0.3228796,32.6046005,,,,4,,,,700082,,,,,
11:30:00.000Z,11:45:00.000Z,17.88541603088379,,0.3228796,32.6045782,0.3228796,32.6045782,,,,30,,,,900000,,,,,
11:45:00.000Z,12:00:00.000Z,17.88541603088379,,0.3228796,32.6045782,0.3228796,32.6045782,,,,,,,,900000,,,,,
12:00:00.000Z,12:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
12:15:00.000Z,12:30:00.000Z,17.88541580773776,,,,,,,,,,,,,900000,,,,,
12:30:00.000Z,12:45:00.000Z,17.885415744015358,,,,,,,,,,,,,900000,,,,,
12:45:00.000Z,13:00:00.000Z,17.8854160293092,,,,,,,,,,,,,900000,,,,,
13:00:00.000Z,13:15:00.000Z,17.88541603088379,,0.3274273,32.5970147,0.3274273,32.5970147,,,,,,,,900000,,,,,
13:15:00.000Z,13:30:00.000Z,17.88541603088379,,,,,,,,,1,,,,900000,,,,,
13:30:00.000Z,13:45:00.000Z,17.88541603088379,,,,,,,,,189,,,,900000,,,,,
13:45:00.000Z,14:00:00.000Z,17.885414179853935,,,,,,,,,30,,,,900000,,,,,
14:00:00.000Z,14:15:00.000Z,17.885414169637762,,,,,,,,,3,,,,900000,,,,,
14:15:00.000Z,14:30:00.000Z,17.885414169637762,,0.3274272,32.5970428,0.3274633,32.5970966,,,,150,,,,900000,,,,,
14:30:00.000Z,14:45:00.000Z,22.964915797340236,46.73259258270264,0.3274721,32.5970462,0.3274721,32.5970462,0.6736238500696383,0.8355340957641602,0.3435663878917694,381,,,,549649,76174,,,,
